division,crime_type,year,cases
central police division,robbery,2024,0
central police division,robbery,2023,3
central police division,robbery,2022,4
central police division,robbery,2021,7
central police division,robbery,2020,3
central police division,robbery,2019,8
central police division,robbery,2018,17
central police division,robbery,2017,14
central police division,robbery,2016,15
central police division,robbery,2015,21
central police division,robbery,2014,26
central police division,robbery,2013,37
central police division,robbery,2012,34
central police division,robbery,2011,50
central police division,housebreaking,2024,17
central police division,housebreaking,2023,13
central police division,housebreaking,2022,20
central police division,housebreaking,2021,25
central police division,housebreaking,2020,29
central police division,housebreaking,2019,29
central police division,housebreaking,2018,24
central police division,housebreaking,2017,18
central police division,housebreaking,2016,18
central police division,housebreaking,2015,33
central police division,housebreaking,2014,40
central police division,housebreaking,2013,49
central police division,housebreaking,2012,32
central police division,housebreaking,2011,48
central police division,snatch theft,2024,3
central police division,snatch theft,2023,1
central police division,snatch theft,2022,4
central police division,snatch theft,2021,0
central police division,snatch theft,2020,5
central police division,snatch theft,2019,5
central police division,snatch theft,2018,15
central police division,snatch theft,2017,10
central police division,snatch theft,2016,6
central police division,snatch theft,2015,19
central police division,snatch theft,2014,24
central police division,snatch theft,2013,36
central police division,snatch theft,2012,31
central police division,snatch theft,2011,47
central police division,theft of motor vehicle,2024,5
central police division,theft of motor vehicle,2023,5
central police division,theft of motor vehicle,2022,10
central police division,theft of motor vehicle,2021,8
central police division,theft of motor vehicle,2020,3
central police division,theft of motor vehicle,2019,6
central police division,theft of motor vehicle,2018,7
central police division,theft of motor vehicle,2017,17
central police division,theft of motor vehicle,2016,13
central police division,theft of motor vehicle,2015,25
central police division,theft of motor vehicle,2014,33
central police division,theft of motor vehicle,2013,25
central police division,theft of motor vehicle,2012,47
central police division,theft of motor vehicle,2011,48
central police division,outrage of modesty,2024,238
central police division,outrage of modesty,2023,277
central police division,outrage of modesty,2022,288
central police division,outrage of modesty,2021,190
central police division,outrage of modesty,2020,176
central police division,outrage of modesty,2019,256
central police division,outrage of modesty,2018,284
central police division,outrage of modesty,2017,254
central police division,outrage of modesty,2016,164
central police division,outrage of modesty,2015,206
central police division,outrage of modesty,2014,219
central police division,outrage of modesty,2013,186
central police division,outrage of modesty,2012,193
central police division,outrage of modesty,2011,180
central police division - bukit merah east npc,robbery,2024,0
central police division - bukit merah east npc,robbery,2023,0
central police division - bukit merah east npc,robbery,2022,2
central police division - bukit merah east npc,robbery,2021,1
central police division - bukit merah east npc,robbery,2020,2
central police division - bukit merah east npc,robbery,2019,3
central police division - bukit merah east npc,robbery,2018,2
central police division - bukit merah east npc,robbery,2017,2
central police division - bukit merah east npc,robbery,2016,3
central police division - bukit merah east npc,robbery,2015,3
central police division - bukit merah east npc,robbery,2014,7
central police division - bukit merah east npc,robbery,2013,6
central police division - bukit merah east npc,robbery,2012,8
central police division - bukit merah east npc,robbery,2011,15
central police division - bukit merah east npc,housebreaking,2024,1
central police division - bukit merah east npc,housebreaking,2023,4
central police division - bukit merah east npc,housebreaking,2022,5
central police division - bukit merah east npc,housebreaking,2021,9
central police division - bukit merah east npc,housebreaking,2020,12
central police division - bukit merah east npc,housebreaking,2019,13
central police division - bukit merah east npc,housebreaking,2018,12
central police division - bukit merah east npc,housebreaking,2017,7
central police division - bukit merah east npc,housebreaking,2016,2
central police division - bukit merah east npc,housebreaking,2015,12
central police division - bukit merah east npc,housebreaking,2014,17
central police division - bukit merah east npc,housebreaking,2013,7
central police division - bukit merah east npc,housebreaking,2012,9
central police division - bukit merah east npc,housebreaking,2011,13
central police division - bukit merah east npc,snatch theft,2024,1
central police division - bukit merah east npc,snatch theft,2023,0
central police division - bukit merah east npc,snatch theft,2022,2
central police division - bukit merah east npc,snatch theft,2021,0
central police division - bukit merah east npc,snatch theft,2020,1
central police division - bukit merah east npc,snatch theft,2019,0
central police division - bukit merah east npc,snatch theft,2018,8
central police division - bukit merah east npc,snatch theft,2017,3
central police division - bukit merah east npc,snatch theft,2016,2
central police division - bukit merah east npc,snatch theft,2015,6
central police division - bukit merah east npc,snatch theft,2014,10
central police division - bukit merah east npc,snatch theft,2013,13
central police division - bukit merah east npc,snatch theft,2012,7
central police division - bukit merah east npc,snatch theft,2011,20
central police division - bukit merah east npc,theft of motor vehicle,2024,2
central police division - bukit merah east npc,theft of motor vehicle,2023,1
central police division - bukit merah east npc,theft of motor vehicle,2022,4
central police division - bukit merah east npc,theft of motor vehicle,2021,3
central police division - bukit merah east npc,theft of motor vehicle,2020,0
central police division - bukit merah east npc,theft of motor vehicle,2019,1
central police division - bukit merah east npc,theft of motor vehicle,2018,1
central police division - bukit merah east npc,theft of motor vehicle,2017,6
central police division - bukit merah east npc,theft of motor vehicle,2016,1
central police division - bukit merah east npc,theft of motor vehicle,2015,8
central police division - bukit merah east npc,theft of motor vehicle,2014,12
central police division - bukit merah east npc,theft of motor vehicle,2013,9
central police division - bukit merah east npc,theft of motor vehicle,2012,12
central police division - bukit merah east npc,theft of motor vehicle,2011,18
central police division - bukit merah east npc,outrage of modesty,2024,49
central police division - bukit merah east npc,outrage of modesty,2023,61
central police division - bukit merah east npc,outrage of modesty,2022,63
central police division - bukit merah east npc,outrage of modesty,2021,52
central police division - bukit merah east npc,outrage of modesty,2020,45
central police division - bukit merah east npc,outrage of modesty,2019,56
central police division - bukit merah east npc,outrage of modesty,2018,74
central police division - bukit merah east npc,outrage of modesty,2017,71
central police division - bukit merah east npc,outrage of modesty,2016,47
central police division - bukit merah east npc,outrage of modesty,2015,54
central police division - bukit merah east npc,outrage of modesty,2014,57
central police division - bukit merah east npc,outrage of modesty,2013,60
central police division - bukit merah east npc,outrage of modesty,2012,48
central police division - bukit merah east npc,outrage of modesty,2011,58
central police division - marina bay npc,robbery,2024,0
central police division - marina bay npc,robbery,2023,1
central police division - marina bay npc,robbery,2022,1
central police division - marina bay npc,robbery,2021,3
central police division - marina bay npc,robbery,2020,0
central police division - marina bay npc,robbery,2019,1
central police division - marina bay npc,robbery,2018,5
central police division - marina bay npc,robbery,2017,4
central police division - marina bay npc,robbery,2016,0
central police division - marina bay npc,robbery,2015,4
central police division - marina bay npc,robbery,2014,2
central police division - marina bay npc,robbery,2013,5
central police division - marina bay npc,robbery,2012,8
central police division - marina bay npc,robbery,2011,12
central police division - marina bay npc,housebreaking,2024,11
central police division - marina bay npc,housebreaking,2023,5
central police division - marina bay npc,housebreaking,2022,8
central police division - marina bay npc,housebreaking,2021,7
central police division - marina bay npc,housebreaking,2020,7
central police division - marina bay npc,housebreaking,2019,6
central police division - marina bay npc,housebreaking,2018,4
central police division - marina bay npc,housebreaking,2017,5
central police division - marina bay npc,housebreaking,2016,7
central police division - marina bay npc,housebreaking,2015,11
central police division - marina bay npc,housebreaking,2014,10
central police division - marina bay npc,housebreaking,2013,9
central police division - marina bay npc,housebreaking,2012,6
central police division - marina bay npc,housebreaking,2011,18
central police division - marina bay npc,snatch theft,2024,0
central police division - marina bay npc,snatch theft,2023,0
central police division - marina bay npc,snatch theft,2022,1
central police division - marina bay npc,snatch theft,2021,0
central police division - marina bay npc,snatch theft,2020,3
central police division - marina bay npc,snatch theft,2019,1
central police division - marina bay npc,snatch theft,2018,3
central police division - marina bay npc,snatch theft,2017,0
central police division - marina bay npc,snatch theft,2016,1
central police division - marina bay npc,snatch theft,2015,3
central police division - marina bay npc,snatch theft,2014,5
central police division - marina bay npc,snatch theft,2013,6
central police division - marina bay npc,snatch theft,2012,3
central police division - marina bay npc,snatch theft,2011,9
central police division - marina bay npc,theft of motor vehicle,2024,0
central police division - marina bay npc,theft of motor vehicle,2023,1
central police division - marina bay npc,theft of motor vehicle,2022,3
central police division - marina bay npc,theft of motor vehicle,2021,2
central police division - marina bay npc,theft of motor vehicle,2020,1
central police division - marina bay npc,theft of motor vehicle,2019,1
central police division - marina bay npc,theft of motor vehicle,2018,3
central police division - marina bay npc,theft of motor vehicle,2017,6
central police division - marina bay npc,theft of motor vehicle,2016,4
central police division - marina bay npc,theft of motor vehicle,2015,2
central police division - marina bay npc,theft of motor vehicle,2014,1
central police division - marina bay npc,theft of motor vehicle,2013,2
central police division - marina bay npc,theft of motor vehicle,2012,4
central police division - marina bay npc,theft of motor vehicle,2011,9
central police division - marina bay npc,outrage of modesty,2024,126
central police division - marina bay npc,outrage of modesty,2023,151
central police division - marina bay npc,outrage of modesty,2022,139
central police division - marina bay npc,outrage of modesty,2021,78
central police division - marina bay npc,outrage of modesty,2020,66
central police division - marina bay npc,outrage of modesty,2019,138
central police division - marina bay npc,outrage of modesty,2018,141
central police division - marina bay npc,outrage of modesty,2017,119
central police division - marina bay npc,outrage of modesty,2016,69
central police division - marina bay npc,outrage of modesty,2015,92
central police division - marina bay npc,outrage of modesty,2014,95
central police division - marina bay npc,outrage of modesty,2013,70
central police division - marina bay npc,outrage of modesty,2012,85
central police division - marina bay npc,outrage of modesty,2011,77
central police division - rochor npc,robbery,2024,0
central police division - rochor npc,robbery,2023,2
central police division - rochor npc,robbery,2022,1
central police division - rochor npc,robbery,2021,3
central police division - rochor npc,robbery,2020,1
central police division - rochor npc,robbery,2019,4
central police division - rochor npc,robbery,2018,10
central police division - rochor npc,robbery,2017,8
central police division - rochor npc,robbery,2016,12
central police division - rochor npc,robbery,2015,14
central police division - rochor npc,robbery,2014,17
central police division - rochor npc,robbery,2013,26
central police division - rochor npc,robbery,2012,18
central police division - rochor npc,robbery,2011,23
central police division - rochor npc,housebreaking,2024,5
central police division - rochor npc,housebreaking,2023,4
central police division - rochor npc,housebreaking,2022,7
central police division - rochor npc,housebreaking,2021,9
central police division - rochor npc,housebreaking,2020,10
central police division - rochor npc,housebreaking,2019,10
central police division - rochor npc,housebreaking,2018,8
central police division - rochor npc,housebreaking,2017,6
central police division - rochor npc,housebreaking,2016,9
central police division - rochor npc,housebreaking,2015,10
central police division - rochor npc,housebreaking,2014,13
central police division - rochor npc,housebreaking,2013,33
central police division - rochor npc,housebreaking,2012,17
central police division - rochor npc,housebreaking,2011,17
central police division - rochor npc,snatch theft,2024,2
central police division - rochor npc,snatch theft,2023,1
central police division - rochor npc,snatch theft,2022,1
central police division - rochor npc,snatch theft,2021,0
central police division - rochor npc,snatch theft,2020,1
central police division - rochor npc,snatch theft,2019,4
central police division - rochor npc,snatch theft,2018,4
central police division - rochor npc,snatch theft,2017,7
central police division - rochor npc,snatch theft,2016,3
central police division - rochor npc,snatch theft,2015,10
central police division - rochor npc,snatch theft,2014,9
central police division - rochor npc,snatch theft,2013,17
central police division - rochor npc,snatch theft,2012,21
central police division - rochor npc,snatch theft,2011,18
central police division - rochor npc,theft of motor vehicle,2024,3
central police division - rochor npc,theft of motor vehicle,2023,3
central police division - rochor npc,theft of motor vehicle,2022,3
central police division - rochor npc,theft of motor vehicle,2021,3
central police division - rochor npc,theft of motor vehicle,2020,2
central police division - rochor npc,theft of motor vehicle,2019,4
central police division - rochor npc,theft of motor vehicle,2018,3
central police division - rochor npc,theft of motor vehicle,2017,5
central police division - rochor npc,theft of motor vehicle,2016,8
central police division - rochor npc,theft of motor vehicle,2015,15
central police division - rochor npc,theft of motor vehicle,2014,20
central police division - rochor npc,theft of motor vehicle,2013,14
central police division - rochor npc,theft of motor vehicle,2012,31
central police division - rochor npc,theft of motor vehicle,2011,21
central police division - rochor npc,outrage of modesty,2024,60
central police division - rochor npc,outrage of modesty,2023,63
central police division - rochor npc,outrage of modesty,2022,84
central police division - rochor npc,outrage of modesty,2021,57
central police division - rochor npc,outrage of modesty,2020,62
central police division - rochor npc,outrage of modesty,2019,62
central police division - rochor npc,outrage of modesty,2018,69
central police division - rochor npc,outrage of modesty,2017,63
central police division - rochor npc,outrage of modesty,2016,48
central police division - rochor npc,outrage of modesty,2015,60
central police division - rochor npc,outrage of modesty,2014,67
central police division - rochor npc,outrage of modesty,2013,56
central police division - rochor npc,outrage of modesty,2012,60
central police division - rochor npc,outrage of modesty,2011,45
central police division - unknown npc,robbery,2024,0
central police division - unknown npc,robbery,2023,0
central police division - unknown npc,robbery,2022,0
central police division - unknown npc,robbery,2021,0
central police division - unknown npc,robbery,2020,0
central police division - unknown npc,robbery,2019,0
central police division - unknown npc,robbery,2018,0
central police division - unknown npc,robbery,2017,0
central police division - unknown npc,robbery,2016,0
central police division - unknown npc,robbery,2015,0
central police division - unknown npc,robbery,2014,0
central police division - unknown npc,robbery,2013,0
central police division - unknown npc,robbery,2012,0
central police division - unknown npc,robbery,2011,0
central police division - unknown npc,housebreaking,2024,0
central police division - unknown npc,housebreaking,2023,0
central police division - unknown npc,housebreaking,2022,0
central police division - unknown npc,housebreaking,2021,0
central police division - unknown npc,housebreaking,2020,0
central police division - unknown npc,housebreaking,2019,0
central police division - unknown npc,housebreaking,2018,0
central police division - unknown npc,housebreaking,2017,0
central police division - unknown npc,housebreaking,2016,0
central police division - unknown npc,housebreaking,2015,0
central police division - unknown npc,housebreaking,2014,0
central police division - unknown npc,housebreaking,2013,0
central police division - unknown npc,housebreaking,2012,0
central police division - unknown npc,housebreaking,2011,0
central police division - unknown npc,snatch theft,2024,0
central police division - unknown npc,snatch theft,2023,0
central police division - unknown npc,snatch theft,2022,0
central police division - unknown npc,snatch theft,2021,0
central police division - unknown npc,snatch theft,2020,0
central police division - unknown npc,snatch theft,2019,0
central police division - unknown npc,snatch theft,2018,0
central police division - unknown npc,snatch theft,2017,0
central police division - unknown npc,snatch theft,2016,0
central police division - unknown npc,snatch theft,2015,0
central police division - unknown npc,snatch theft,2014,0
central police division - unknown npc,snatch theft,2013,0
central police division - unknown npc,snatch theft,2012,0
central police division - unknown npc,snatch theft,2011,0
central police division - unknown npc,theft of motor vehicle,2024,0
central police division - unknown npc,theft of motor vehicle,2023,0
central police division - unknown npc,theft of motor vehicle,2022,0
central police division - unknown npc,theft of motor vehicle,2021,0
central police division - unknown npc,theft of motor vehicle,2020,0
central police division - unknown npc,theft of motor vehicle,2019,0
central police division - unknown npc,theft of motor vehicle,2018,0
central police division - unknown npc,theft of motor vehicle,2017,0
central police division - unknown npc,theft of motor vehicle,2016,0
central police division - unknown npc,theft of motor vehicle,2015,0
central police division - unknown npc,theft of motor vehicle,2014,0
central police division - unknown npc,theft of motor vehicle,2013,0
central police division - unknown npc,theft of motor vehicle,2012,0
central police division - unknown npc,theft of motor vehicle,2011,0
central police division - unknown npc,outrage of modesty,2024,3
central police division - unknown npc,outrage of modesty,2023,2
central police division - unknown npc,outrage of modesty,2022,2
central police division - unknown npc,outrage of modesty,2021,3
central police division - unknown npc,outrage of modesty,2020,3
central police division - unknown npc,outrage of modesty,2019,0
central police division - unknown npc,outrage of modesty,2018,0
central police division - unknown npc,outrage of modesty,2017,0
central police division - unknown npc,outrage of modesty,2016,0
central police division - unknown npc,outrage of modesty,2015,0
central police division - unknown npc,outrage of modesty,2014,0
central police division - unknown npc,outrage of modesty,2013,0
central police division - unknown npc,outrage of modesty,2012,0
central police division - unknown npc,outrage of modesty,2011,0
clementi police division,robbery,2024,1
clementi police division,robbery,2023,0
clementi police division,robbery,2022,2
clementi police division,robbery,2021,2
clementi police division,robbery,2020,4
clementi police division,robbery,2019,2
clementi police division,robbery,2018,3
clementi police division,robbery,2017,4
clementi police division,robbery,2016,5
clementi police division,robbery,2015,9
clementi police division,robbery,2014,25
clementi police division,robbery,2013,23
clementi police division,robbery,2012,24
clementi police division,robbery,2011,47
clementi police division,housebreaking,2024,17
clementi police division,housebreaking,2023,12
clementi police division,housebreaking,2022,7
clementi police division,housebreaking,2021,11
clementi police division,housebreaking,2020,32
clementi police division,housebreaking,2019,33
clementi police division,housebreaking,2018,32
clementi police division,housebreaking,2017,22
clementi police division,housebreaking,2016,26
clementi police division,housebreaking,2015,22
clementi police division,housebreaking,2014,49
clementi police division,housebreaking,2013,69
clementi police division,housebreaking,2012,92
clementi police division,housebreaking,2011,85
clementi police division,snatch theft,2024,1
clementi police division,snatch theft,2023,0
clementi police division,snatch theft,2022,0
clementi police division,snatch theft,2021,1
clementi police division,snatch theft,2020,2
clementi police division,snatch theft,2019,4
clementi police division,snatch theft,2018,4
clementi police division,snatch theft,2017,7
clementi police division,snatch theft,2016,3
clementi police division,snatch theft,2015,13
clementi police division,snatch theft,2014,17
clementi police division,snatch theft,2013,19
clementi police division,snatch theft,2012,27
clementi police division,snatch theft,2011,30
clementi police division,theft of motor vehicle,2024,13
clementi police division,theft of motor vehicle,2023,6
clementi police division,theft of motor vehicle,2022,11
clementi police division,theft of motor vehicle,2021,7
clementi police division,theft of motor vehicle,2020,9
clementi police division,theft of motor vehicle,2019,4
clementi police division,theft of motor vehicle,2018,8
clementi police division,theft of motor vehicle,2017,15
clementi police division,theft of motor vehicle,2016,16
clementi police division,theft of motor vehicle,2015,25
clementi police division,theft of motor vehicle,2014,19
clementi police division,theft of motor vehicle,2013,43
clementi police division,theft of motor vehicle,2012,60
clementi police division,theft of motor vehicle,2011,65
clementi police division,outrage of modesty,2024,175
clementi police division,outrage of modesty,2023,135
clementi police division,outrage of modesty,2022,149
clementi police division,outrage of modesty,2021,169
clementi police division,outrage of modesty,2020,156
clementi police division,outrage of modesty,2019,188
clementi police division,outrage of modesty,2018,166
clementi police division,outrage of modesty,2017,196
clementi police division,outrage of modesty,2016,153
clementi police division,outrage of modesty,2015,137
clementi police division,outrage of modesty,2014,152
clementi police division,outrage of modesty,2013,145
clementi police division,outrage of modesty,2012,143
clementi police division,outrage of modesty,2011,153
clementi police division - bukit merah west npc,robbery,2024,0
clementi police division - bukit merah west npc,robbery,2023,0
clementi police division - bukit merah west npc,robbery,2022,1
clementi police division - bukit merah west npc,robbery,2021,0
clementi police division - bukit merah west npc,robbery,2020,2
clementi police division - bukit merah west npc,robbery,2019,1
clementi police division - bukit merah west npc,robbery,2018,1
clementi police division - bukit merah west npc,robbery,2017,0
clementi police division - bukit merah west npc,robbery,2016,2
clementi police division - bukit merah west npc,robbery,2015,2
clementi police division - bukit merah west npc,robbery,2014,12
clementi police division - bukit merah west npc,robbery,2013,6
clementi police division - bukit merah west npc,robbery,2012,6
clementi police division - bukit merah west npc,robbery,2011,22
clementi police division - bukit merah west npc,housebreaking,2024,3
clementi police division - bukit merah west npc,housebreaking,2023,5
clementi police division - bukit merah west npc,housebreaking,2022,3
clementi police division - bukit merah west npc,housebreaking,2021,4
clementi police division - bukit merah west npc,housebreaking,2020,16
clementi police division - bukit merah west npc,housebreaking,2019,12
clementi police division - bukit merah west npc,housebreaking,2018,5
clementi police division - bukit merah west npc,housebreaking,2017,5
clementi police division - bukit merah west npc,housebreaking,2016,9
clementi police division - bukit merah west npc,housebreaking,2015,5
clementi police division - bukit merah west npc,housebreaking,2014,8
clementi police division - bukit merah west npc,housebreaking,2013,17
clementi police division - bukit merah west npc,housebreaking,2012,25
clementi police division - bukit merah west npc,housebreaking,2011,18
clementi police division - bukit merah west npc,snatch theft,2024,1
clementi police division - bukit merah west npc,snatch theft,2023,0
clementi police division - bukit merah west npc,snatch theft,2022,0
clementi police division - bukit merah west npc,snatch theft,2021,0
clementi police division - bukit merah west npc,snatch theft,2020,0
clementi police division - bukit merah west npc,snatch theft,2019,1
clementi police division - bukit merah west npc,snatch theft,2018,0
clementi police division - bukit merah west npc,snatch theft,2017,4
clementi police division - bukit merah west npc,snatch theft,2016,1
clementi police division - bukit merah west npc,snatch theft,2015,2
clementi police division - bukit merah west npc,snatch theft,2014,4
clementi police division - bukit merah west npc,snatch theft,2013,4
clementi police division - bukit merah west npc,snatch theft,2012,6
clementi police division - bukit merah west npc,snatch theft,2011,12
clementi police division - bukit merah west npc,theft of motor vehicle,2024,5
clementi police division - bukit merah west npc,theft of motor vehicle,2023,2
clementi police division - bukit merah west npc,theft of motor vehicle,2022,2
clementi police division - bukit merah west npc,theft of motor vehicle,2021,5
clementi police division - bukit merah west npc,theft of motor vehicle,2020,1
clementi police division - bukit merah west npc,theft of motor vehicle,2019,1
clementi police division - bukit merah west npc,theft of motor vehicle,2018,2
clementi police division - bukit merah west npc,theft of motor vehicle,2017,3
clementi police division - bukit merah west npc,theft of motor vehicle,2016,6
clementi police division - bukit merah west npc,theft of motor vehicle,2015,7
clementi police division - bukit merah west npc,theft of motor vehicle,2014,9
clementi police division - bukit merah west npc,theft of motor vehicle,2013,17
clementi police division - bukit merah west npc,theft of motor vehicle,2012,25
clementi police division - bukit merah west npc,theft of motor vehicle,2011,36
clementi police division - bukit merah west npc,outrage of modesty,2024,46
clementi police division - bukit merah west npc,outrage of modesty,2023,26
clementi police division - bukit merah west npc,outrage of modesty,2022,37
clementi police division - bukit merah west npc,outrage of modesty,2021,32
clementi police division - bukit merah west npc,outrage of modesty,2020,35
clementi police division - bukit merah west npc,outrage of modesty,2019,37
clementi police division - bukit merah west npc,outrage of modesty,2018,44
clementi police division - bukit merah west npc,outrage of modesty,2017,52
clementi police division - bukit merah west npc,outrage of modesty,2016,46
clementi police division - bukit merah west npc,outrage of modesty,2015,32
clementi police division - bukit merah west npc,outrage of modesty,2014,33
clementi police division - bukit merah west npc,outrage of modesty,2013,38
clementi police division - bukit merah west npc,outrage of modesty,2012,43
clementi police division - bukit merah west npc,outrage of modesty,2011,47
clementi police division - clementi npc,robbery,2024,0
clementi police division - clementi npc,robbery,2023,0
clementi police division - clementi npc,robbery,2022,1
clementi police division - clementi npc,robbery,2021,0
clementi police division - clementi npc,robbery,2020,0
clementi police division - clementi npc,robbery,2019,0
clementi police division - clementi npc,robbery,2018,2
clementi police division - clementi npc,robbery,2017,1
clementi police division - clementi npc,robbery,2016,1
clementi police division - clementi npc,robbery,2015,3
clementi police division - clementi npc,robbery,2014,3
clementi police division - clementi npc,robbery,2013,8
clementi police division - clementi npc,robbery,2012,5
clementi police division - clementi npc,robbery,2011,8
clementi police division - clementi npc,housebreaking,2024,4
clementi police division - clementi npc,housebreaking,2023,1
clementi police division - clementi npc,housebreaking,2022,1
clementi police division - clementi npc,housebreaking,2021,0
clementi police division - clementi npc,housebreaking,2020,9
clementi police division - clementi npc,housebreaking,2019,6
clementi police division - clementi npc,housebreaking,2018,8
clementi police division - clementi npc,housebreaking,2017,7
clementi police division - clementi npc,housebreaking,2016,4
clementi police division - clementi npc,housebreaking,2015,6
clementi police division - clementi npc,housebreaking,2014,20
clementi police division - clementi npc,housebreaking,2013,10
clementi police division - clementi npc,housebreaking,2012,19
clementi police division - clementi npc,housebreaking,2011,25
clementi police division - clementi npc,snatch theft,2024,0
clementi police division - clementi npc,snatch theft,2023,0
clementi police division - clementi npc,snatch theft,2022,0
clementi police division - clementi npc,snatch theft,2021,0
clementi police division - clementi npc,snatch theft,2020,2
clementi police division - clementi npc,snatch theft,2019,1
clementi police division - clementi npc,snatch theft,2018,2
clementi police division - clementi npc,snatch theft,2017,1
clementi police division - clementi npc,snatch theft,2016,0
clementi police division - clementi npc,snatch theft,2015,3
clementi police division - clementi npc,snatch theft,2014,7
clementi police division - clementi npc,snatch theft,2013,3
clementi police division - clementi npc,snatch theft,2012,7
clementi police division - clementi npc,snatch theft,2011,6
clementi police division - clementi npc,theft of motor vehicle,2024,2
clementi police division - clementi npc,theft of motor vehicle,2023,1
clementi police division - clementi npc,theft of motor vehicle,2022,4
clementi police division - clementi npc,theft of motor vehicle,2021,2
clementi police division - clementi npc,theft of motor vehicle,2020,1
clementi police division - clementi npc,theft of motor vehicle,2019,3
clementi police division - clementi npc,theft of motor vehicle,2018,0
clementi police division - clementi npc,theft of motor vehicle,2017,4
clementi police division - clementi npc,theft of motor vehicle,2016,3
clementi police division - clementi npc,theft of motor vehicle,2015,7
clementi police division - clementi npc,theft of motor vehicle,2014,4
clementi police division - clementi npc,theft of motor vehicle,2013,6
clementi police division - clementi npc,theft of motor vehicle,2012,16
clementi police division - clementi npc,theft of motor vehicle,2011,10
clementi police division - clementi npc,outrage of modesty,2024,26
clementi police division - clementi npc,outrage of modesty,2023,29
clementi police division - clementi npc,outrage of modesty,2022,25
clementi police division - clementi npc,outrage of modesty,2021,30
clementi police division - clementi npc,outrage of modesty,2020,31
clementi police division - clementi npc,outrage of modesty,2019,38
clementi police division - clementi npc,outrage of modesty,2018,28
clementi police division - clementi npc,outrage of modesty,2017,37
clementi police division - clementi npc,outrage of modesty,2016,29
clementi police division - clementi npc,outrage of modesty,2015,35
clementi police division - clementi npc,outrage of modesty,2014,37
clementi police division - clementi npc,outrage of modesty,2013,33
clementi police division - clementi npc,outrage of modesty,2012,34
clementi police division - clementi npc,outrage of modesty,2011,24
clementi police division - jurong east npc,robbery,2024,0
clementi police division - jurong east npc,robbery,2023,0
clementi police division - jurong east npc,robbery,2022,0
clementi police division - jurong east npc,robbery,2021,2
clementi police division - jurong east npc,robbery,2020,1
clementi police division - jurong east npc,robbery,2019,0
clementi police division - jurong east npc,robbery,2018,0
clementi police division - jurong east npc,robbery,2017,2
clementi police division - jurong east npc,robbery,2016,1
clementi police division - jurong east npc,robbery,2015,2
clementi police division - jurong east npc,robbery,2014,9
clementi police division - jurong east npc,robbery,2013,5
clementi police division - jurong east npc,robbery,2012,9
clementi police division - jurong east npc,robbery,2011,9
clementi police division - jurong east npc,housebreaking,2024,2
clementi police division - jurong east npc,housebreaking,2023,4
clementi police division - jurong east npc,housebreaking,2022,0
clementi police division - jurong east npc,housebreaking,2021,3
clementi police division - jurong east npc,housebreaking,2020,5
clementi police division - jurong east npc,housebreaking,2019,5
clementi police division - jurong east npc,housebreaking,2018,8
clementi police division - jurong east npc,housebreaking,2017,3
clementi police division - jurong east npc,housebreaking,2016,3
clementi police division - jurong east npc,housebreaking,2015,6
clementi police division - jurong east npc,housebreaking,2014,7
clementi police division - jurong east npc,housebreaking,2013,9
clementi police division - jurong east npc,housebreaking,2012,12
clementi police division - jurong east npc,housebreaking,2011,17
clementi police division - jurong east npc,snatch theft,2024,0
clementi police division - jurong east npc,snatch theft,2023,0
clementi police division - jurong east npc,snatch theft,2022,0
clementi police division - jurong east npc,snatch theft,2021,1
clementi police division - jurong east npc,snatch theft,2020,0
clementi police division - jurong east npc,snatch theft,2019,0
clementi police division - jurong east npc,snatch theft,2018,0
clementi police division - jurong east npc,snatch theft,2017,1
clementi police division - jurong east npc,snatch theft,2016,2
clementi police division - jurong east npc,snatch theft,2015,5
clementi police division - jurong east npc,snatch theft,2014,4
clementi police division - jurong east npc,snatch theft,2013,5
clementi police division - jurong east npc,snatch theft,2012,4
clementi police division - jurong east npc,snatch theft,2011,5
clementi police division - jurong east npc,theft of motor vehicle,2024,3
clementi police division - jurong east npc,theft of motor vehicle,2023,1
clementi police division - jurong east npc,theft of motor vehicle,2022,4
clementi police division - jurong east npc,theft of motor vehicle,2021,0
clementi police division - jurong east npc,theft of motor vehicle,2020,5
clementi police division - jurong east npc,theft of motor vehicle,2019,0
clementi police division - jurong east npc,theft of motor vehicle,2018,3
clementi police division - jurong east npc,theft of motor vehicle,2017,3
clementi police division - jurong east npc,theft of motor vehicle,2016,3
clementi police division - jurong east npc,theft of motor vehicle,2015,8
clementi police division - jurong east npc,theft of motor vehicle,2014,2
clementi police division - jurong east npc,theft of motor vehicle,2013,9
clementi police division - jurong east npc,theft of motor vehicle,2012,8
clementi police division - jurong east npc,theft of motor vehicle,2011,8
clementi police division - jurong east npc,outrage of modesty,2024,45
clementi police division - jurong east npc,outrage of modesty,2023,40
clementi police division - jurong east npc,outrage of modesty,2022,48
clementi police division - jurong east npc,outrage of modesty,2021,39
clementi police division - jurong east npc,outrage of modesty,2020,35
clementi police division - jurong east npc,outrage of modesty,2019,57
clementi police division - jurong east npc,outrage of modesty,2018,45
clementi police division - jurong east npc,outrage of modesty,2017,55
clementi police division - jurong east npc,outrage of modesty,2016,31
clementi police division - jurong east npc,outrage of modesty,2015,31
clementi police division - jurong east npc,outrage of modesty,2014,46
clementi police division - jurong east npc,outrage of modesty,2013,45
clementi police division - jurong east npc,outrage of modesty,2012,34
