year,population_by_age_group,number_of_population
2020,19 & below,164
2020,20-29,1167
2020,30-39,1488
2020,40-49,1655
2020,50-59,1608
2020,60-64,557
2020,65-69,213
2020,70-74,71
2020,75 & above,11
2021,19 & below,138
2021,20-29,1015
2021,30-39,1343
2021,40-49,1298
2021,50-59,1364
2021,60-64,478
2021,65-69,223
2021,70-74,65
2021,75 & above,21
2022,19 & below,107
2022,20-29,872
2022,30-39,1168
2022,40-49,1064
2022,50-59,1155
2022,60-64,370
2022,65-69,223
2022,70-74,55
2022,75 & above,24
