year,population_by_age_group,population_by_main_offence_group,number_of_population
2022,40-49,Other Offences,30
2022,40-49,Property Crimes,142
2022,40-49,Traffic Offences,23
2022,50-59,Crimes Against Person,185
2022,50-59,Commercial Crimes,64
2022,50-59,Crimes Against Public Order,28
2022,50-59,Customs Offences,18
2022,50-59,Drug Offences,1739
2022,50-59,Immigration Offences,9
2022,50-59,Other Offences,24
2022,50-59,Property Crimes,145
2022,50-59,Traffic Offences,6
2022,60-64,Crimes Against Person,63
2022,60-64,Commercial Crimes,14
2022,60-64,Crimes Against Public Order,9
2022,60-64,Customs Offences,10
2022,60-64,Drug Offences,603
2022,60-64,Immigration Offences,0
2022,60-64,Other Offences,9
2022,60-64,Property Crimes,46
2022,60-64,Traffic Offences,1
2022,65 & above,Crimes Against Person,62
2022,65 & above,Commercial Crimes,23
2022,65 & above,Crimes Against Public Order,8
2022,65 & above,Customs Offences,4
2022,65 & above,Drug Offences,450
2022,65 & above,Immigration Offences,1
2022,65 & above,Other Offences,3
2022,65 & above,Property Crimes,43
2022,65 & above,Traffic Offences,2
